"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/18/2021","Marshalls","SECU 13 S. MAIN ST MARSHALL","82.00","debit","Clothing","Investor Checking","",""
"3/18/2021","BANK OF AMERICA FNDTRNSFR XX0317","BANK OF AMERICA FNDTRNSFR 210317","445.00","credit","Transfer","Investor Checking","",""
"3/17/2021","HOLE DOUGH* HOLE DOUGH NC","HOLE DOUGH* HOLE DOUGH 8887072469 NC","20.14","debit","Restaurants","Discover","",""
"3/17/2021","DOORDASH DASHPASS CA","DOORDASH DASHPASS 6506819470 CA","9.99","debit","Restaurants","Discover","",""
"3/17/2021","Internal Revenue Service","External Deposit IRS TREAS 310 - TAXEIP3","1400.00","credit","Federal Tax","Choice Checking","",""
"3/17/2021","D.D.BULLWINKEL'S OUTDOO BREVARD","D.D.BULLWINKEL'S OUTDOO BREVARD","60.26","debit","Shopping","Investor Checking","",""
"3/16/2021","DOORDASH*ITTO RAMEN & CA","DOORDASH*ITTO RAMEN & 6506819470 CA","54.69","debit","Restaurants","Discover","",""
"3/16/2021","Lab Corp.","LCA*LABCORP (LCBS) WEB 800-845-6167 NC000924387965","5.73","debit","Doctor","Discover","",""
"3/16/2021","BIG BURGER SPOT GREENSBORO, NC #XX0000","BIG BURGER SPOT GREENSBORO, NC #000000","38.56","debit","Fast Food","Investor Checking","",""
"3/16/2021","BISCUIT HEAD BILTMXXX-, NC #X0000","BISCUIT HEAD BILTM303-8196663, NC #00000","43.83","debit","Restaurants","Investor Checking","",""
"3/15/2021","Amazon","AMZN MKTP US*Y56A01GC3 AMZN.COM/BILLWA12E1A8OMM7U","12.51","debit","Shopping","Discover","",""
"3/15/2021"," 1012693628091 OMAR ISUF","IAT Withdrawal IAT PAYPAL 1012693628091 OMAR ISUF","51.50","debit","Clothing","Choice Checking","",""
"3/15/2021","Inspire Nail Bar","INSPIRE NAIL BAR BOWIE, MD #00000019006","145.00","debit","Personal Care","Investor Checking","",""
"3/15/2021","Target","TARGET T-1807 115 River Asheville","45.78","debit","Shopping","Investor Checking","",""
"3/15/2021","FRENCH BROAD RAFTI800-5707238, NC #00000","FRENCH BROAD RAFTI800-5707238, NC #00000","163.70","debit","Vacation","Investor Checking","",""
"3/15/2021","NATIONALSO402-935-7733, NJ #0000","PAYPAL *NATIONALSO402-935-7733, NJ #0000","138.99","debit","Shopping","Investor Checking","",""
"3/14/2021","McDonald's","MCDONALD'S F35016 SOUTH HILL VA","8.19","debit","Fast Food","Discover","",""
"3/14/2021","LOVES TRAVEL STOPS #46 SOUTH HILL VA","LOVES TRAVEL STOPS #46 SOUTH HILL VA","36.43","debit","Gas & Fuel","Discover","",""
"3/14/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","6.36","debit","Pharmacy","Discover","",""
"3/14/2021","Safeway","SAFEWAY 2713 BOWIE MD","71.93","debit","Groceries","Discover","",""
"3/14/2021","MILK AND HONEY GOSQ.COM MDXXXXXXXXXXXXXXXX8316","SQ *MILK AND HONEY GOSQ.COM MD00011529215099398316","27.84","debit","Shopping","Discover","",""
"3/13/2021","FH* BONSAI VENTURES XXX-XXX-5551 NC","FH* BONSAI VENTURES 855-495-5551 NC","211.89","debit","Clothing","Discover","",""
"3/12/2021","DMV","MD MOTOR VEHICLE WEB XXX-XXX7299 MD","135.00","debit","Auto & Transport","Discover","",""
"3/12/2021","AAHCS INC AAD MRI XXX-XXX-6548 MD","AAHCS INC AAD MRI XXX-XXX-6548 MD","31.04","debit","Doctor","Discover","",""
"3/12/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","19.99","debit","Transfer","Choice Checking","",""
"3/11/2021","Giant","GIANT XXXX LANHAM MDX1119R","313.79","debit","Groceries","Discover","",""
"3/11/2021","Shell","SHELL XXXXXXX2508 BOWIE MD","30.72","debit","Gas & Fuel","Discover","",""
"3/11/2021","Chipotle","CHIPOTLE ONLINE XXX-XXX-4768 CA","25.44","debit","Fast Food","Discover","",""
"3/11/2021","BANK OF AMERICA FNDTRNSFR 210309","BANK OF AMERICA FNDTRNSFR XX0309","445.00","credit","Transfer","Investor Checking","",""
"3/10/2021","CVS","CVS/PHARMACY #X5875 BOWIE MD","50.00","debit","Pharmacy","Discover","",""
"3/10/2021","CVS","CVS/PHARMACY #X5875 BOWIE MD","53.81","debit","Pharmacy","Discover","",""
"3/10/2021","Amazon","AMZN MKTP US*SDXADXXFX AMZN.COM/BILLWA7J36MPZ7MOL","54.03","debit","Shopping","Discover","",""
"3/10/2021","Amazon","AMZN MKTP US*LXXRTXXA3 AMZN.COM/BILLWAL4E8ASWK4CF","126.38","debit","Shopping","Discover","",""
"3/10/2021","CAVA MEZZE GRILL DCOLUMBIA, MD #00000019","CAVA MEZZE GRILL DCOLUMBIA, MD #XXXX0019","31.21","debit","Restaurants","Investor Checking","",""
"3/08/2021","Walgreens","WALGREENS STORE 5585 TW COLUMBIA","34.23","debit","Pharmacy","Investor Checking","",""
"3/07/2021","Airbnb","PAYPAL *AIRBNB IN4029357733, CA #000000","60.00","debit","Hotel","Investor Checking","",""
"3/07/2021","Airbnb","PAYPAL *AIRBNB HM4029357733, CA #000000","946.51","debit","Hotel","Investor Checking","",""
"3/05/2021","Gold's Gym","ABC*GOLDS GYM XXX-XXX-9262 MDABC*GOLDS GYM","29.99","debit","Gym","Discover","",""
"3/05/2021","Spotify","SPOTIFY PXXBCCBCXC XXXXXX1161 NY","14.99","debit","Music","Discover","",""
"3/05/2021"," 1012589092442 BEI JING QUAN SU ZAI XIAN KE JI YOU","IAT Withdrawal IAT PAYPAL 1012589092442 BEI JING QUAN SU ZAI XIAN KE JI YOU","106.13","debit","Restaurants","Choice Checking","",""
"3/04/2021","BANK OF AMERICA FNDTRNSFR 210302","BANK OF AMERICA FNDTRNSFR 210302","445.00","credit","Transfer","Investor Checking","",""
"3/02/2021","Giant","GIANT 0326 LANHAM MD00271R","200.54","debit","Groceries","Discover","",""
"3/02/2021","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","1488.88","credit","Credit Card Payment","Discover","",""
"3/02/2021","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","17.08","credit","Bonus","Discover","",""
"3/01/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","13.50","debit","Pharmacy","Discover","",""
"3/01/2021","Geico","GEICO *AUTO 800-841-3000 DC4458078930000800474122","123.39","debit","Auto Insurance","Discover","",""
"3/01/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","40.80","debit","Transfer","Choice Checking","",""
"2/28/2021","Credit Interest","Credit Interest","0.03","credit","Interest Income","Choice Checking","",""
"2/27/2021","Giant","GIANT 0326 LANHAM MD02772R","105.62","debit","Groceries","Discover","",""
"2/26/2021","Interest Paid","Interest Paid","0.07","credit","Interest Income","Investor Checking","",""
"2/26/2021","ATM Fee Rebate","ATM Fee Rebate","3.50","credit","ATM Fee","Investor Checking","",""
"2/26/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","81.83","debit","Transfer","Choice Checking","",""
"2/25/2021","SMALLSFORSMALLS.COM 5034874303 NY","SMALLSFORSMALLS.COM 5034874303 NY","57.24","debit","Shopping","Discover","",""
"2/25/2021","Apple","APPLE.COM/BILL 866-712-7753 CAMKQN2X6JT9A0","9.99","debit","Electronics & Software","Discover","",""
"2/24/2021","Olive Garden","OLIVE GARDEN 0021560 BOWIE MD","36.11","debit","Restaurants","Discover","",""
"2/24/2021","BANK OF AMERICA FNDTRNSFR 210223","BANK OF AMERICA FNDTRNSFR 210223","445.00","credit","Transfer","Investor Checking","",""
"2/23/2021","Potbelly Sandwich Works","DOORDASH*POTBELLY SAND 6506819470 CA","18.94","debit","Restaurants","Discover","",""
"2/23/2021","Interest Paid","Interest Paid","4.26","credit","Interest Income","Online Savings Account","",""
"2/22/2021","Potbelly Sandwich Works","DOORDASH*POTBELLY SAND 6506819470 CA","19.94","debit","Restaurants","Discover","",""
"2/22/2021","RORY 8887988686 NY","RORY 8887988686 NY","75.00","debit","Entertainment","Discover","",""
"2/21/2021","Amazon","AMAZON PRIME*K685T5EF3 AMZN.COM/BILLWA2VD5AOMZXW3","119.00","debit","Shopping","Discover","",""
"2/21/2021","Target","TARGET.COM * 800-591-3869 MN","0.05","credit","Shopping","Discover","",""
"2/20/2021","Target","TARGET.COM * 800-591-3869 MN","41.88","debit","Shopping","Discover","",""
"2/20/2021","The Turn House","Point Of Sale Withdrawal TST* THE TURN HOUSE COLUMBIA MDUS","93.94","debit","Restaurants","Choice Checking","",""
"2/19/2021","BANFIELD-PET*WPPAYMENT 866-894-7927 WA","BANFIELD-PET*WPPAYMENT 866-894-7927 WA","45.95","debit","Veterinary","Discover","",""
"2/19/2021","BANK OF AMERICA FNDTRNSFR 210217","BANK OF AMERICA FNDTRNSFR 210217","445.00","credit","Transfer","Investor Checking","",""
"2/19/2021","MD State Tax","External Deposit ST. OF MARYLAND RELIEF ACT PAYMENTXX - RELIEF ACT","300.00","credit","State Tax","Choice Checking","",""
"2/18/2021","Chipotle","CHIPOTLE ONLINE 180-024-4768 CA","8.22","debit","Fast Food","Discover","",""
"2/18/2021","Amazon","AMAZON.COM*AT8637CU3 AMZN.COM/BILLWA4Z38QEKH0F2","31.79","debit","Shopping","Discover","",""
"2/17/2021","GLENN DALE CROWN GLENN DALE MD","GLENN DALE CROWN GLENN DALE MD","18.96","debit","Gas & Fuel","Discover","",""
"2/17/2021","DOORDASH DASHPASS 6506819470 CA","DOORDASH DASHPASS 6506819470 CA","9.99","debit","Restaurants","Discover","",""
"2/17/2021","Amazon","AMZN MKTP US*6O1VZ0183 AMZN.COM/BILLWAX51EL9KPTBL","68.92","debit","Shopping","Discover","",""
"2/17/2021","Shell","SHELL 57543580500 GREENBELT MD","54.98","debit","Gas & Fuel","Discover","",""
"2/17/2021","Giant","GIANT 0326 LANHAM MD01761R","253.23","debit","Groceries","Discover","",""
"2/16/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","16.73","debit","Pharmacy","Discover","",""
"2/16/2021","KIKIM COMPANY INC BOWIE","KIKIM COMPANY INC BOWIE","216.78","debit","Misc Expenses","Investor Checking","",""
"2/15/2021","Amazon","AMZN MKTP US*Q34VC2XV3 AMZN.COM/BILLWA1N1I7JB2C9R","77.37","debit","Shopping","Discover","",""
"2/13/2021","The Perfect Pour","THE PERFECT POUR ELKRIDGE MD","47.94","debit","Alcohol & Bars","Discover","",""
"2/12/2021","7-Eleven","7-ELEVEN 11704 COLUMBIA MD","13.91","debit","Fast Food","Discover","",""
"2/12/2021","Giant","GIANT 0326 LANHAM MD01204R","13.26","debit","Groceries","Discover","",""
"2/12/2021","Etsy.com","ETSY.COM BROOKLYN NY","43.46","debit","Shopping","Discover","",""
"2/11/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","5.61","debit","Pharmacy","Discover","",""
"2/11/2021","Giant","GIANT 0326 LANHAM MD01120R","73.76","debit","Groceries","Discover","",""
"2/11/2021","Chick-Fil-A","CHICKFILA APP 8662322040 866-232-2040 GA","10.00","debit","Fast Food","Discover","",""
"2/11/2021","BANK OF AMERICA FNDTRNSFR 210209","BANK OF AMERICA FNDTRNSFR 210209","445.00","credit","Transfer","Investor Checking","",""
"2/10/2021","Amazon","AMZN MKTP US*EF9L87U93 AMZN.COM/BILLWA1H1GZF2EWA3","55.01","debit","Shopping","Discover","",""
"2/10/2021","DISCOVER E-PAYMENT 210209","DISCOVER E-PAYMENT 210209","500.00","debit","Credit Card Payment","Investor Checking","",""
"2/09/2021","STANFORD EB CONFERENCES 650-736-0048 CA","STANFORD EB CONFERENCES 650-736-0048 CA","20.00","debit","Entertainment","Discover","",""
"2/09/2021","Shell","SHELL 57543580500 GREENBELT MD","26.28","debit","Gas & Fuel","Discover","",""
"2/09/2021","Amazon","AMAZON.COM*ZS1LF09N3 AMZN.COM/BILLWA1DB3Z5B6NWN","25.67","debit","Shopping","Discover","",""
"2/09/2021","Target","TARGET.COM * 800-591-3869 MN","56.28","debit","Shopping","Discover","",""
"2/09/2021","Squisito","DOORDASH*SQUISITO PIZZ 6506819470 CA","28.82","debit","Restaurants","Discover","",""
"2/09/2021","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","1494.21","credit","Credit Card Payment","Discover","",""
"2/09/2021","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","500.00","credit","Credit Card Payment","Discover","",""
"2/08/2021","Chipotle","DOORDASH*CHIPOTLE 6506819470 CA","16.15","debit","Restaurants","Discover","",""
"2/08/2021","Funds Transfer from Brokerage -9681","Funds Transfer from Brokerage -9681","4.03","credit","Transfer","Investor Checking","",""
"2/08/2021","Funds Transfer to Brokerage -5396","Funds Transfer to Brokerage -5396","250.00","debit","Transfer","Investor Checking","",""
"2/08/2021","American Prime","AMERICAN PRIME 703-8918900, VA #00000","233.20","debit","Home Services","Investor Checking","",""
"2/08/2021","External Deposit VENMO - CASHOUT","External Deposit VENMO - CASHOUT","21.73","credit","Income","Choice Checking","",""
"2/08/2021","Venmo Cashout","VENMO CASHOUT","120.00","credit","Income","Investor Checking","",""
"2/07/2021","Target","TARGET T-1044 6111 Dobb Columbia","21.05","debit","Shopping","Investor Checking","",""
"2/07/2021","Giant","GIANT 0111 COLUMBIA","8.47","debit","Groceries","Investor Checking","",""
"2/06/2021","Giant","GIANT 0326 LANHAM MD00679R","18.19","debit","Groceries","Discover","",""
"2/06/2021","DOORDASH*MOTHERS FEDER 6506819470 CA","DOORDASH*MOTHERS FEDER 6506819470 CA","34.40","debit","Restaurants","Discover","",""
"2/06/2021","ATM Fee","PNC BANK 10501 GREENBEL LANHAM","3.50","debit","ATM Fee","Investor Checking","",""
"2/06/2021","PNC Bank","PNC BANK 10501 GREENBEL LANHAM","60.00","debit","Cash & ATM","Investor Checking","",""
"2/05/2021","DOORDASH*PLNT BURGER 6506819470 CA","DOORDASH*PLNT BURGER 6506819470 CA","29.48","debit","Restaurants","Discover","",""
"2/05/2021","Gold's Gym","ABC*GOLDS GYM 888-827-9262 MDABC*GOLDS GYM","29.99","debit","Gym","Discover","",""
"2/05/2021","Spotify","SPOTIFY P134F6DB4C 8777781161 NY","14.99","debit","Music","Discover","",""
"2/04/2021","ASTHMA ^ ALLERGY BOWIE BOWIE MD","ASTHMA ^ ALLERGY BOWIE BOWIE MD","29.32","debit","Doctor","Discover","",""
"2/04/2021","Amazon","AMZN MKTP US*4T8U286K3 AMZN.COM/BILLWA15SK67S5PYR","52.45","debit","Shopping","Discover","",""
"2/03/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","124.02","debit","Pharmacy","Discover","",""
"2/03/2021","SP * SOFT SERVE CLOTHI 7605472900 CA","SP * SOFT SERVE CLOTHI 7605472900 CA","24.00","debit","Restaurants","Discover","",""
"2/03/2021","Giant","GIANT 0326 LANHAM MD00384R","39.66","debit","Groceries","Discover","",""
"2/03/2021"," 1012191044087 BAMBOO UNDERWEAR INC.","IAT Withdrawal IAT PAYPAL 1012191044087 BAMBOO UNDERWEAR INC.","35.70","debit","Clothing","Choice Checking","",""
"2/03/2021","BANK OF AMERICA FNDTRNSFR 210202","BANK OF AMERICA FNDTRNSFR 210202","445.00","credit","Transfer","Investor Checking","",""
"2/02/2021","Amazon","AMZN MKTP US*WP0RH8LW3 AMZN.COM/BILLWA1MIT4YJECCL","47.57","debit","Shopping","Discover","",""
"2/02/2021","DOORDASH*GRILLED CHEES 6506819470 CA","DOORDASH*GRILLED CHEES 6506819470 CA","23.17","debit","Restaurants","Discover","",""
"2/02/2021","Funds Transfer to Brokerage -5396","Funds Transfer to Brokerage -5396","400.00","debit","Transfer","Investor Checking","",""
"2/02/2021","Funds Transfer to Brokerage -5396","Funds Transfer to Brokerage -5396","400.00","debit","Transfer","Investor Checking","",""
"2/01/2021","Geico","GEICO *AUTO 800-841-3000 DC4458078930000650599703","123.39","debit","Auto Insurance","Discover","",""
"2/01/2021","External Deposit VENMO - CASHOUT","External Deposit VENMO - CASHOUT","35.00","credit","Income","Choice Checking","",""
"2/01/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","83.30","debit","Transfer","Choice Checking","",""
"2/01/2021","Eggspectation","Point Of Sale Withdrawal EGGSPECTATION ELLICOTT ELLICOTT CITYMDUS","52.95","debit","Restaurants","Choice Checking","",""
"1/31/2021","AutoZone","AUTOZONE 6776 COLUMBIA MD","57.23","debit","Service & Parts","Discover","",""
"1/31/2021","Amazon","AMAZON.COM*FX74M8NU3 AMZN.COM/BILLWA5IO0NVPBW7S","12.05","debit","Shopping","Discover","",""
"1/31/2021","Amazon","AMAZON.COM*A31EJ2MN3 AMZN.COM/BILLWA4G5F98ZJO5J","52.14","debit","Shopping","Discover","",""
"1/31/2021","Credit Interest","Credit Interest","0.04","credit","Interest Income","Choice Checking","",""
"1/30/2021","Shell","SHELL 57543580401 LANHAM MD","49.77","debit","Gas & Fuel","Discover","",""
"1/30/2021","GLENN DALE CROWN GLENN DALE MD","GLENN DALE CROWN GLENN DALE MD","21.22","debit","Gas & Fuel","Discover","",""
"1/30/2021","Giant","GIANT 0326 LANHAM MD03058R","40.95","debit","Groceries","Discover","",""
"1/30/2021","Giant","GIANT 0326 LANHAM MD03052R","16.91","debit","Groceries","Discover","",""
"1/30/2021","Target","TARGET.COM * 800-591-3869 MN","58.03","debit","Shopping","Discover","",""
"1/30/2021","Amazon","AMZN MKTP US*ND45J5II3 AMZN.COM/BILLWA3CJY0R32BJ5","34.62","debit","Shopping","Discover","",""
"1/30/2021","Target","TARGET COLUMBIA MD","12.71","debit","Shopping","Discover","",""
"1/29/2021","Interest Paid","Interest Paid","0.10","credit","Interest Income","Investor Checking","",""
"1/29/2021","Amazon","AMZN MKTP US*SD29R1E03 AMZN.COM/BILLWA4BZEK14E1TN","100.50","debit","Shopping","Discover","",""
"1/29/2021","Athleta","ATHLETA ONLINE GROVEPORT OH","21.20","debit","Clothing","Discover","",""
"1/28/2021","Giant","GIANT 0326 LANHAM MD02839R","339.94","debit","Groceries","Discover","",""
"1/28/2021","Chick-Fil-A","CHICKFILA APP 8662322040 866-232-2040 GA","25.00","debit","Fast Food","Discover","",""
"1/28/2021","Funds Transfer to Brokerage -9681","Funds Transfer to Brokerage -9681","200.00","debit","Transfer","Investor Checking","",""
"1/28/2021","BANK OF AMERICA FNDTRNSFR 210126","BANK OF AMERICA FNDTRNSFR 210126","445.00","credit","Transfer","Investor Checking","",""
"1/27/2021","SP * IT JUST WORKS 7328598904 NJ","SP * IT JUST WORKS 7328598904 NJ","75.65","debit","Clothing","Discover","",""
"1/27/2021","Funds Transfer to Brokerage -5396","Funds Transfer to Brokerage -5396","500.00","debit","Transfer","Investor Checking","",""
"1/27/2021","Funds Transfer to Brokerage -5396","Funds Transfer to Brokerage -5396","148.50","debit","Transfer","Investor Checking","",""
"1/27/2021","Funds Transfer from Brokerage -9681","Funds Transfer from Brokerage -9681","4.35","credit","Transfer","Investor Checking","",""
"1/27/2021","Funds Transfer to Brokerage -9681","Funds Transfer to Brokerage -9681","500.00","debit","Transfer","Investor Checking","",""
"1/27/2021","Funds Transfer to Brokerage -5396","Funds Transfer to Brokerage -5396","86.00","debit","Transfer","Investor Checking","",""
"1/26/2021","Apple","APPLE.COM/BILL 866-712-7753 CAMKQMTSGN26A0","9.99","debit","Electronics & Software","Discover","",""
"1/25/2021","Potbelly Sandwich Works","DOORDASH*POTBELLY SAND 6506819470 CA","22.55","debit","Restaurants","Discover","",""
"1/25/2021","Amazon","AMAZON.COM*ZW8X98PE3 AMZN.COM/BILLWA62DV8JVC6H0","16.44","debit","Shopping","Discover","",""
"1/25/2021","Amazon","AMAZON.COM*4B6A02BD3 AMZN.COM/BILLWA58C4NZM335H","54.38","debit","Shopping","Discover","",""
"1/25/2021","Venmo Cashout","VENMO CASHOUT","62.00","credit","Income","Investor Checking","",""
"1/24/2021","Target","TARGET COLUMBIA MD","21.89","debit","Shopping","Discover","",""
"1/24/2021","Little Spice Inc","DOORDASH*LITTLE SPICE 6506819470 CA","26.77","debit","Restaurants","Discover","",""
"1/23/2021","CLARKSVILLE VILLAGE WINE CLARKSVILLE MD","CLARKSVILLE VILLAGE WINE CLARKSVILLE MD","21.78","debit","Alcohol & Bars","Discover","",""
"1/23/2021","Silver Diner","DOORDASH*SILVER DINER 6506819470 CA","58.25","debit","Restaurants","Discover","",""
"1/23/2021","Interest Paid","Interest Paid","4.26","credit","Interest Income","Online Savings Account","",""
"1/23/2021","Whole Foods","WHOLEFDS KMQ #10 10275 COLUMBIA","62.85","debit","Groceries","Investor Checking","",""
"1/22/2021","Potbelly Sandwich Works","DOORDASH*POTBELLY SAND 6506819470 CA","19.66","debit","Restaurants","Discover","",""
"1/22/2021","Amazon","AMZN MKTP US*DF4FS5Q93 AMZN.COM/BILLWA2S6NX7OWQOR","37.18","debit","Shopping","Discover","",""
"1/22/2021","Venmo","VENMO PAYMENT","54.00","debit","Transfer","Investor Checking","",""
"1/22/2021","Bank of America FndTrnsfr 210120","Bank of America FndTrnsfr 210120","445.00","credit","Transfer","Investor Checking","",""
"1/21/2021","Amazon","AMAZON.COM*YL7747TL3 AMZN.COM/BILLWA28DCUYXNWA5","48.01","debit","Shopping","Discover","",""
"1/21/2021"," 1012005463291 NAMASTETICS","IAT Withdrawal IAT PAYPAL 1012005463291 NAMASTETICS","92.65","debit","Clothing","Choice Checking","",""
"1/20/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","20.00","debit","Pharmacy","Discover","",""
"1/20/2021","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","1199.97","credit","Credit Card Payment","Discover","",""
"1/20/2021","Univ Maryland Fin","UNIV OF MARYLAND FIN REFUND 210115","242.50","credit","Income","Investor Checking","",""
"1/19/2021","BANFIELD-PET*WPPAYMENT 866-894-7927 WA","BANFIELD-PET*WPPAYMENT 866-894-7927 WA","45.95","debit","Veterinary","Discover","",""
"1/19/2021","Shell","SHELL 57543580401 LANHAM MD","58.98","debit","Gas & Fuel","Discover","",""
"1/19/2021"," INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","42.93","debit","Transfer","Choice Checking","",""
"1/18/2021","Saigon Noodle House","SAIGON NOODLE HOUSE CROFTON MD","18.92","debit","Restaurants","Discover","",""
"1/18/2021","Amazon","AMAZON.COM*NI9L37K93 AMZN.COM/BILLWA6F6O82EUVMO","54.38","debit","Shopping","Discover","",""
"1/18/2021","High's","HIGHS 92 GAMBRILLS MD","23.83","debit","Gas & Fuel","Discover","",""
"1/18/2021","Giant","GIANT 0326 LANHAM MD01847R","188.52","debit","Groceries","Discover","",""
"1/18/2021","Potbelly Sandwich Works","DOORDASH*POTBELLY SAND 6506819470 CA","28.22","debit","Restaurants","Discover","",""
"1/17/2021","Gold's Gym","ABC*GOLDS GYM 888-827-9262 MDABC*GOLDS GYM","49.99","debit","Gym","Discover","",""
"1/17/2021","PRIME VIDEO*8I9LI7BJ3 888-802-3080 WA43E01H71FKV","PRIME VIDEO*8I9LI7BJ3 888-802-3080 WA43E01H71FKV","3.99","debit","Restaurants","Discover","",""
"1/16/2021","Wine & Spirits","CT WINE & SPIRIT COLUMBIA MD","34.90","debit","Alcohol & Bars","Discover","",""
"1/16/2021","Walgreens","WALGREENS #11949 COLUMBIA MD","23.83","debit","Pharmacy","Discover","",""
"1/16/2021","Potbelly Sandwich Works","DOORDASH*POTBELLY SAND 6506819470 CA","28.22","debit","Restaurants","Discover","",""
"1/16/2021","TAPPER 402-935-7733 CA","PAYPAL *TAPPER 402-935-7733 CA","99.95","debit","Shopping","Discover","",""
"1/16/2021","SUSHI KING* SUSHI KING 8887072469 MD","SUSHI KING* SUSHI KING 8887072469 MD","84.43","debit","Restaurants","Discover","",""
"1/15/2021","Giant","GIANT 0326 LANHAM MD01571R","109.42","debit","Groceries","Discover","",""
"1/15/2021","Check Paid #1101","Check Paid #1101","209.00","debit","Check","Investor Checking","",""
"1/14/2021","Bank of America FndTrnsfr 210112","Bank of America FndTrnsfr 210112","445.00","credit","Transfer","Investor Checking","",""
"1/12/2021","CVS","CVS/PHARMACY #05875 BOWIE MD","59.08","debit","Pharmacy","Discover","",""
